time	V(buffer_out)
3.665192857142931e-007	5.991270e-001
3.666807142857218e-007	5.990726e-001
3.668421428571506e-007	5.990193e-001
3.670035714285793e-007	5.989672e-001
3.671650000000081e-007	5.989164e-001
3.672850000000082e-007	5.988795e-001
3.674050000000084e-007	5.988432e-001
3.675250000000085e-007	5.988077e-001
3.676450000000086e-007	5.987728e-001
3.677650000000088e-007	5.987387e-001
3.678850000000089e-007	5.987053e-001
3.680050000000090e-007	5.986725e-001
3.680150000000091e-007	5.986698e-001
3.681892857142950e-007	5.986237e-001
3.683635714285809e-007	5.985790e-001
3.685378571428668e-007	5.985358e-001
3.687121428571527e-007	5.984941e-001
3.688864285714386e-007	5.984539e-001
3.690607142857245e-007	5.984152e-001
3.692350000000104e-007	5.983780e-001
3.693778571428677e-007	5.983486e-001
3.695207142857251e-007	5.983202e-001
3.696635714285823e-007	5.982927e-001
3.698064285714397e-007	5.982662e-001
3.699492857142970e-007	5.982407e-001
3.700921428571543e-007	5.982160e-001
3.702350000000116e-007	5.981924e-001
3.703707142857260e-007	5.981708e-001
3.705064285714405e-007	5.981500e-001
3.706421428571549e-007	5.981300e-001
3.707778571428693e-007	5.981108e-001
3.709135714285838e-007	5.980925e-001
3.710492857142982e-007	5.980749e-001
3.711850000000127e-007	5.980581e-001
3.713535714285843e-007	5.980384e-001
3.715221428571559e-007	5.980197e-001
3.716907142857275e-007	5.980022e-001
3.718592857142991e-007	5.979857e-001
3.720278571428707e-007	5.979703e-001
3.721964285714424e-007	5.979561e-001
3.723650000000140e-007	5.979429e-001
3.725264285714428e-007	5.979312e-001
3.726878571428715e-007	5.979203e-001
3.728492857143002e-007	5.979103e-001
3.730107142857290e-007	5.979012e-001
3.731721428571578e-007	5.978928e-001
3.733335714285865e-007	5.978853e-001
3.734950000000153e-007	5.978787e-001
3.736678571428726e-007	5.978724e-001
3.738407142857300e-007	5.978669e-001
3.740135714285873e-007	5.978622e-001
3.741864285714446e-007	5.978582e-001
3.743592857143020e-007	5.978550e-001
3.745321428571593e-007	5.978525e-001
3.747050000000166e-007	5.978508e-001
3.748550000000168e-007	5.978498e-001
3.750050000000170e-007	5.978493e-001
3.751550000000172e-007	5.978492e-001
3.753050000000173e-007	5.978495e-001
3.754550000000175e-007	5.978503e-001
3.756050000000177e-007	5.978515e-001
3.757550000000178e-007	5.978531e-001
3.759350000000180e-007	5.978556e-001
3.761150000000182e-007	5.978584e-001
3.762950000000185e-007	5.978617e-001
3.764750000000187e-007	5.978655e-001
3.766550000000189e-007	5.978696e-001
3.768350000000191e-007	5.978742e-001
3.770150000000193e-007	5.978792e-001
3.771535714285908e-007	5.978833e-001
3.772921428571625e-007	5.978876e-001
3.774307142857340e-007	5.978919e-001
3.775692857143056e-007	5.978965e-001
3.777078571428772e-007	5.979012e-001
3.778464285714488e-007	5.979060e-001
3.779850000000204e-007	5.979110e-001
3.780221428571633e-007	5.979124e-001
3.780592857143062e-007	5.979137e-001
3.780964285714491e-007	5.979151e-001
3.781335714285919e-007	5.979165e-001
3.781707142857349e-007	5.979178e-001
3.782078571428777e-007	5.979192e-001
3.782450000000207e-007	5.979207e-001
3.782550000000207e-007	5.979210e-001
3.783821428571637e-007	5.979259e-001
3.785092857143067e-007	5.979308e-001
3.786364285714497e-007	5.979358e-001
3.787635714285927e-007	5.979409e-001
3.788907142857357e-007	5.979460e-001
3.790178571428787e-007	5.979512e-001
3.791450000000217e-007	5.979564e-001
3.793064285714472e-007	5.979631e-001
3.794678571428727e-007	5.979698e-001
3.796292857142982e-007	5.979766e-001
3.797907142857237e-007	5.979833e-001
3.799521428571493e-007	5.979901e-001
3.801135714285748e-007	5.979969e-001
3.802750000000003e-007	5.980037e-001
3.805750000000006e-007	5.980161e-001
3.808750000000010e-007	5.980285e-001
3.811750000000013e-007	5.980410e-001
3.814750000000017e-007	5.980534e-001
3.817750000000020e-007	5.980659e-001
3.820750000000023e-007	5.980785e-001
3.823750000000027e-007	5.980911e-001
3.826835714285744e-007	5.981042e-001
3.829921428571463e-007	5.981188e-001
3.833007142857180e-007	5.981347e-001
3.836092857142898e-007	5.981521e-001
3.839178571428616e-007	5.981709e-001
3.842264285714334e-007	5.981911e-001
3.845350000000051e-007	5.982127e-001
3.847892857142911e-007	5.982324e-001
3.850435714285771e-007	5.982540e-001
3.852978571428631e-007	5.982777e-001
