time	V(buffer_out)
8.358892857142197e-007	6.027000e-001
8.362064285713612e-007	6.026902e-001
8.365235714285028e-007	6.026811e-001
8.368407142856443e-007	6.026724e-001
8.371578571427859e-007	6.026644e-001
8.374749999999273e-007	6.026568e-001
8.385049999999231e-007	6.026374e-001
8.385149999999230e-007	6.026372e-001
8.389621428570759e-007	6.026313e-001
8.394092857142287e-007	6.026264e-001
8.398564285713817e-007	6.026226e-001
8.403035714285346e-007	6.026197e-001
8.407507142856875e-007	6.026179e-001
8.411978571428403e-007	6.026171e-001
8.416449999999932e-007	6.026173e-001
8.419607142857062e-007	6.026178e-001
8.422764285714191e-007	6.026172e-001
8.425921428571321e-007	6.026156e-001
8.429078571428452e-007	6.026129e-001
8.432235714285581e-007	6.026092e-001
8.435392857142711e-007	6.026045e-001
8.438549999999840e-007	6.025987e-001
8.443478571428392e-007	6.025857e-001
8.448407142856942e-007	6.025651e-001
8.453335714285493e-007	6.025369e-001
8.458264285714044e-007	6.025011e-001
8.463192857142595e-007	6.024577e-001
8.468121428571145e-007	6.024068e-001
8.473049999999697e-007	6.023482e-001
8.475064285713974e-007	6.023214e-001
8.477078571428252e-007	6.022932e-001
8.479092857142529e-007	6.022636e-001
8.481107142856806e-007	6.022328e-001
8.483121428571083e-007	6.022005e-001
8.485135714285361e-007	6.021669e-001
8.487149999999638e-007	6.021320e-001
8.487249999999638e-007	6.021302e-001
8.491978571428190e-007	6.020417e-001
8.496707142856741e-007	6.019483e-001
8.501435714285293e-007	6.018500e-001
8.506164285713844e-007	6.017467e-001
8.510892857142397e-007	6.016386e-001
8.515621428570948e-007	6.015255e-001
8.520349999999500e-007	6.014076e-001
8.524464285713768e-007	6.013033e-001
8.528578571428038e-007	6.011983e-001
8.532692857142306e-007	6.010927e-001
8.536807142856574e-007	6.009864e-001
8.540921428570843e-007	6.008795e-001
8.545035714285112e-007	6.007719e-001
8.549149999999380e-007	6.006637e-001
8.552064285713653e-007	6.005877e-001
8.554978571427928e-007	6.005122e-001
8.557892857142201e-007	6.004371e-001
8.560807142856474e-007	6.003624e-001
8.563721428570748e-007	6.002881e-001
8.566635714285022e-007	6.002143e-001
8.569549999999295e-007	6.001409e-001
8.570892857142147e-007	6.001073e-001
8.572235714284999e-007	6.000738e-001
8.573578571427850e-007	6.000405e-001
8.574921428570701e-007	6.000073e-001
8.576264285713553e-007	5.999742e-001
8.577607142856404e-007	5.999412e-001
8.578949999999256e-007	5.999084e-001
8.579849999999252e-007	5.998865e-001
8.580749999999249e-007	5.998646e-001
8.581649999999245e-007	5.998428e-001
8.582549999999241e-007	5.998211e-001
8.583449999999237e-007	5.997994e-001
8.584349999999234e-007	5.997778e-001
8.585249999999230e-007	5.997562e-001
8.585835714284942e-007	5.997422e-001
8.586421428570653e-007	5.997282e-001
8.587007142856365e-007	5.997142e-001
8.587592857142078e-007	5.997003e-001
8.588178571427790e-007	5.996864e-001
8.588764285713501e-007	5.996725e-001
8.589349999999213e-007	5.996587e-001
8.589649999999212e-007	5.996516e-001
8.590349999999209e-007	5.996350e-001
8.591049999999206e-007	5.996186e-001
8.591749999999203e-007	5.996021e-001
8.592449999999200e-007	5.995857e-001
8.593149999999197e-007	5.995693e-001
8.593849999999194e-007	5.995529e-001
